id,name,tierColor,hp,atk,def,rush,effect,origin,iconSrc,iconMissing
the_great_entertainer,The Great Entertainer,red,1200,120,120,120,FTH +60<br>ART +60<br>CIV +60<br>TECH +60<br>FAME +60,{{retext|Stage Hat|orange,/kb/gear/icons/The_Great_Entertainer.png,False
the_great_magician,The Great Magician,red,1200,120,120,120,ALL RES +72,{{retext|Magician|orange,/kb/gear/icons/The_Great_Magician.png,False
the_great_scientist,The Great Scientist,red,1800,60,60,180,"When exploring, 2x Time Chests Drops +12%",{{retext|Teslla|orange,/kb/gear/icons/The_Great_Scientist.png,False
thunder_belt,Thunder Belt,red,600,60,60,300,Wind RES +360,{{retext|Static Belt|orange,/kb/gear/icons/Thunder_Belt.png,False
time_wanderer,Time Wanderer,red,1000,200,200,200,"In explorations, Snail HP +2000<br>In explorations, Snail ATK +200<br>In explorations, Snail DEF +200<br>In explorations, Snail RUSH +200<br>In explorations, INTEL gained +20%<br>In explorations, DMG +20%",{{RewardIconWithText|Spacetime Exile|red,/kb/gear/icons/Time_Wanderer.png,False
traveler_outfit,Traveler Outfit,red,1800,60,180,60,Dodge Rate +12%,{{retext|Workout Top|orange,/kb/gear/icons/Traveler_Outfit.png,False
tremendous_support,Tremendous Support,red,600,60,60,300,Travel SPD +9.6%,{{retext|Iron Track|orange,/kb/gear/icons/Tremendous_Support.png,False
true_sakabato,True Sakabato,red,600,300,60,60,"Againt Daily Hitmen,DMG +18%<br>1st round DMG +12%",{{retext|Sakabato Blade|orange,/kb/gear/icons/True_Sakabato.png,False
virtual_vision,Virtual Vision,red,600,300,60,60,"In Gene Simulations, DMG +18%<br>In Gene Simulations, Round 1 DMG +12%",{{retext|Imitation Vision|orange,/kb/gear/icons/Virtual_Vision.png,False
w_tadpole_sword,W-Tadpole Sword,red,600,300,60,60,HIT +12<br>Ignore All RES +36,{{retext|B-Tadpole Sword|orange,/kb/gear/icons/W-Tadpole_Sword.png,False
warmonger_s_gun,Warmonger's Gun,red,600,180,60,180,"In [[Koryeo]], Snail ATK +120<br>In [[Koryeo]], Snail RUSH +120<br>In [[Koryeo]], Snail DMG +12%<br>In [[Koryeo]], INTEL gained +12%",{{retext|Virgo Tech|orange,/kb/gear/icons/Warmonger_s_Gun.png,False
